Discipline,Review item,Reviewer result,Finding or evidence,Required action,Reviewer initials,Date
Configuration,Confirm reviewed commit and CI artifact ID/digest match release-gate-evidence.json,,,,,
Scope,Confirm review is limited to the modular bare backplane and does not imply approval of absent integrated schematics/boards,,,,,
Netlist,Reconcile all 102 pins and 13 connector references to controlled module/harness interface definitions,,,,,
Connectors,Verify every board and mating MPN / footprint / pin-1 / keying / insertion direction against manufacturer drawings,,,,,
Power,Document worst-case load for 24V_IN / 12V_SYS / 5V_SYS / 3V3_SYS and connector contact allocation,,,,,
Power,Check 24V 1.50 mm and 5V/GND 2.00 mm trunks plus 0.20 mm neckdowns for current / temperature / voltage-drop margin,,,,,
Power,Check via count and via dimensions at every rail transition against calculated current,,,,,
Safety,Verify no mains voltage is present and 24V separation / fault behavior is appropriate for the intended EVT use,,,,,
Grounding,Inspect L2/L5 GND plane continuity / antipads / return paths in the filled manufacturing PCB and Gerbers,,,,,
Signals,Review I2C/SPI/UART/SWD topology / stubs / pull-up ownership against the actual connected modules,,,,,
Field bus,Review CAN/RS-485 topology / termination / bias / common-mode and connector/harness grounding assumptions,,,,,
Routing,Inspect connector fan-out layer isolation / via locations / parallelism / crosstalk and return-path changes,,,,,
Rules,Review custom DRC rules and identify missing constraints rather than relying only on zero DRC output,,,,,
Mechanical,Verify six-hole enclosure coordinate/tolerance closure and fastener/copper/component clearances,,,,,
DFM,Review annular rings / drill aspect ratio / mask dams / copper-to-edge / legends / fabrication notes,,,,,
DFT,Review test access and whether IPC-D-356 plus bare-board electrical test is adequate for the EVT lot,,,,,
Manufacturing,Review fabricator-returned stackup and DFM exceptions against the exact post-approval PCB revision,,,,,
Documentation,Confirm pinout / PCB / position output / release status / checksums are mutually consistent,,,,,
Disposition,Record APPROVED / APPROVED WITH CLOSED ACTIONS / REJECTED and attach the signed report,,,,,
