Category,Item,Requested requirement,Fabricator response,Status,Approver,Date,Evidence reference
Identification,Board,BRMC Consumer EVT v1.0 modular backplane,,,,,
Identification,CI source baseline,Commit 7ee8025b67477b51e17edb343fe79a6a2d4b94c9 / workflow run 33701186394,,,,,
Board,Finished size,220.0 x 78.0 mm rectangular,,,,,
Board,Finished thickness,1.60 mm nominal; state finished tolerance,,,,,
Board,Layer count,6 copper layers,,,,,
Material,Laminate,High-Tg FR-4; Tg >= 170 C; identify laminate family and slash sheet,,,,,
Finish,Surface finish,ENIG; state nickel/gold thickness range,,,,,
Copper,L1 / F.Cu,1 oz target; signal and connector fan-out,,,,,
Dielectric,PP1,Fabricator-selected; report material and pressed thickness,,,,,
Copper,L2 / In1.Cu,1 oz target; continuous GND plane,,,,,
Dielectric,Core 1,Fabricator-selected; report material and thickness,,,,,
Copper,L3 / In2.Cu,0.5-1 oz; signal fan-out,,,,,
Dielectric,PP2,Fabricator-selected; report material and pressed thickness,,,,,
Copper,L4 / In3.Cu,0.5-1 oz; signal fan-out,,,,,
Dielectric,Core 2,Fabricator-selected; report material and thickness,,,,,
Copper,L5 / In4.Cu,1 oz target; continuous GND plane,,,,,
Dielectric,PP3,Fabricator-selected; report material and pressed thickness,,,,,
Copper,L6 / B.Cu,1 oz target; signal and power trunks,,,,,
Impedance,Controlled impedance,None requested for this modular backplane; confirm no coupon surcharge/requirement,,,,,
Geometry,Minimum routed trace,0.20 mm (7.87 mil),,,,,
Geometry,Minimum specified clearance,0.20 mm general / 0.30 mm on 24V_IN,,,,,
Power,24V_IN trunk,1.50 mm on B.Cu with short 0.20 mm connector escapes,,,,,
Power,5V_SYS and GND trunks,2.00 mm on B.Cu with short 0.20 mm connector escapes,,,,,
Drill,Connector PTH,1.00 mm finished target in 1.80 mm pad; confirm finished/plated convention,,,,,
Drill,Signal vias,0.30 mm drill in 0.55/0.60 mm pads; confirm annular-ring capability,,,,,
Drill,Power vias,0.45/0.50 mm drill in 0.90/1.00 mm pads,,,,,
Drill,Mounting NPTH,6 x 3.20 mm; confirm NPTH and copper-clearance treatment,,,,,
Registration,Layer/drill registration,State production tolerances used for DFM,,,,,
Solder mask,Color and registration,State proposed color and minimum mask dam/registration,,,,,
Legend,Silkscreen,White preferred; clip only where required and report changes,,,,,
Panelization,Delivery,Individual boards unless fabricator proposes a controlled panel drawing,,,,,
Testing,Bare-board electrical test,100 percent; state method and netlist source,,,,,
Quality,Acceptance,Provide IPC class offered and inspection standard,,,,,
DFM,Gerber/drill review,Return DFM report listing every modification or exception,,,,,
DFM,Stackup approval,Return controlled stackup drawing tied to quote/job ID,,,,,
Release,Authorization,No fabrication until BattleReef approves returned stackup and DFM in writing,,,,,
