category,item,manufacturer_or_candidate,qty,interface,budget_usd_each,budget_usd_extended,status,notes
controller,Industrial ESP32-S3 PLC,Erqos EQSP32CE,1,Ethernet/RS485/4-20mA,185,185,preferred,"Industrial DIN-rail controller; current single-unit market price approximately $185"
power,24 VDC Class 2 DIN-rail PSU,AutomationDirect RHINO PSL-24-060 or equivalent,1,24VDC,69,69,preferred,"60 W / 2.5 A; UL Listed; provides expansion margin"
enclosure,NEMA 4X/IP66 polycarbonate enclosure,Polycase WC/HN family or equivalent,1,DIN rail,150,150,requirements_defined,"Final size after component layout; separate mains and SELV zones or use separate mains enclosure"
power_meter,Heater dedicated energy meter,Eastron SDM120-M or US-listed functional equivalent,1,RS485 Modbus,65,65,engineering_candidate,"Operational voltage range includes 120 VAC; final installed product must satisfy applicable US listing/code requirements"
power_meter,Return-pump dedicated energy meter,Eastron SDM120-M or US-listed functional equivalent,1,RS485 Modbus,65,65,engineering_candidate,"Second independent meter; never infer pump power from aggregate system power"
flow,Return flow meter,Industrial corrosion-resistant magmeter sized to actual pipe/flow,1,4-20mA or pulse,1600,1600,production_candidate,"Seametrics PE202 is a reference only for <=20 GPM 3/4in service; larger BattleReef systems require a correctly sized alternative"
temperature,Independent RTD/PT100 probe + transmitter,Industrial 4-20mA RTD transmitter,1,4-20mA,150,150,requirements_defined,"Separate probe and conditioning path from primary temperature sensor"
level,Non-contact ultrasonic sump level sensor,Banner T30U 4-20mA family or equivalent,1,4-20mA,300,300,preferred_architecture,"Different physical measurement principle from primary level sensor; confirm final sensing range against sump geometry"
rpm,Return-pump tach/RPM sensor,Vendor/device dependent,1,pulse,100,100,optional,"Use only genuine independent rotational feedback; omit if pump cannot expose reliable tach information"
network,Industrial Ethernet cable and glands,Cat6 shielded + IP-rated glands,1,Ethernet,50,50,required,"Keep network physically separated from mains conductors"
wiring,DIN rail terminals/ferrules/fuses/barriers,UL-recognized industrial wiring hardware,1,field wiring,150,150,required,"Include fused 24 VDC distribution and proper mains/SELV separation"
commissioning,Calibration/test equipment allowance,N/A,1,N/A,200,200,budget,"Reference thermometer, clamp/power verification, flow comparison, labels and commissioning consumables"
TOTAL,Production-oriented prototype budget,,,,3084,3084,budgetary,"Approximate design budget before tax/shipping and qualified mains installation labor; flow meter dominates cost"
